word,level
一發不可收拾,第5級
不可同日而語,第5級
心不甘情不願,第5級
迅雷不及掩耳,第5級
沒(有)用,第4級
一動也不動,第5級
有助（於）,第5級
不好意思,第2*級
便利商店,第2*級
公共汽車,第2*級
十字路口,第2*級
百貨公司,第2*級
超級市場,第2*級
聖誕老人,第3*級
各式各樣,第4級
平板電腦,第4級
一天到晚,第4*級
一般來說,第4*級
一乾二淨,第5級
一事無成,第5級
一塌糊塗,第5級
一塵不染,第5級
一帆風順,第5級
一席之地,第5級
一廂情願,第5級
一心一意,第5級
一意孤行,第5級
一成不變,第5級
一技之長,第5級
一拍即合,第5級
一掃而空,第5級
一擁而上,第5級
一敗塗地,第5級
一文不值,第5級
一望無際,第5級
一本正經,第5級
一模一樣,第5級
一氣呵成,第5級
一清二楚,第5級
一無所有,第5級
一無所獲,第5級
一無所知,第5級
一無是處,第5級
一目了然,第5級
一知半解,第5級
一竅不通,第5級
一籌莫展,第5級
一絲不苟,第5級
一網打盡,第5級
一聲令下,第5級
一臂之力,第5級
一舉一動,第5級
一舉兩得,第5級
一般而言,第5級
一落千丈,第5級
一見鍾情,第5級
一言一行,第5級
一走了之,第5級
一路順風,第5級
一蹶不振,第5級
一針見血,第5級
一頭霧水,第5級
一飲而盡,第5級
一鳴驚人,第5級
一點一滴,第5級
七嘴八舌,第5級
三更半夜,第5級
上上下下,第5級
不二法門,第5級
不亦樂乎,第5級
不以為意,第5級
不以為然,第5級
不偏不倚,第5級
不切實際,第5級
不動聲色,第5級
不勝枚舉,第5級
不厭其煩,第5級
不可一世,第5級
不可思議,第5級
不可或缺,第5級
不可理喻,第5級
不可言喻,第5級
不可開交,第5級
不在話下,第5級
不堪一擊,第5級
不堪設想,第5級
不容置疑,第5級
不寒而慄,第5級
不屈不撓,第5級
不屑一顧,第5級
不懷好意,第5級
不折不扣,第5級
不擇手段,第5級
不為所動,第5級
不由自主,第5級
不相上下,第5級
不省人事,第5級
不知不覺,第5級
不知所云,第5級
不知所措,第5級
不約而同,第5級
不計其數,第5級
不足為奇,第5級
不遺餘力,第5級
並行不悖,第5級
並駕齊驅,第5級
中產階級,第5級
中華民國,第5級
久而久之,第5級
九霄雲外,第5級
亂七八糟,第5級
事與願違,第5級
二氧化碳,第5級
二話不說,第5級
五彩繽紛,第5級
五花八門,第5級
五顏六色,第5級
五體投地,第5級
井井有條,第5級
井然有序,第5級
亦步亦趨,第5級
人云亦云,第5級
人來人往,第5級
人山人海,第5級
人心惶惶,第5級
以身作則,第5級
以防萬一,第5級
似是而非,第5級
似曾相識,第5級
何去何從,第5級
侃侃而談,第5級
來來往往,第5級
來龍去脈,第5級
依依不捨,第5級
信以為真,第5級
信誓旦旦,第5級
偷偷摸摸,第5級
傳宗接代,第5級
優柔寡斷,第5級
充耳不聞,第5級
先決條件,第5級
先見之明,第5級
光天化日,第5級
光明正大,第5級
兢兢業業,第5級
全力以赴,第5級
全神貫注,第5級
全軍覆沒,第5級
公諸於世,第5級
冠冕堂皇,第5級
冰山一角,第5級
冷嘲熱諷,第5級
凡夫俗子,第5級
出乎意料,第5級
出人意表,第5級
出人頭地,第5級
出其不意,第5級
出類拔萃,第5級
分工合作,第5級
分道揚鑣,第5級
別出心裁,第5級
刮目相看,第5級
刻骨銘心,第5級
前仆後繼,第5級
前因後果,第5級
前所未有,第5級
前所未見,第5級
力不從心,第5級
功不可沒,第5級
功虧一簣,第5級
加油添醋,第5級
勃然大怒,第5級
動彈不得,第5級
勝利在望,第5級
勢如破竹,第5級
化為烏有,第5級
匪夷所思,第5級
十全十美,第5級
千奇百怪,第5級
千方百計,第5級
千真萬確,第5級
千篇一律,第5級
千言萬語,第5級
千變萬化,第5級
千載難逢,第5級
千辛萬苦,第5級
千里迢迢,第5級
千鈞一髮,第5級
半信半疑,第5級
半途而廢,第5級
南轅北轍,第5級
原來如此,第5級
原封不動,第5級
參差不齊,第5級
反覆無常,第5級
取而代之,第5級
受寵若驚,第5級
口口聲聲,第5級
另當別論,第5級
可想而知,第5級
史無前例,第5級
司空見慣,第5級
吃喝玩樂,第5級
各行各業,第5級
合情合理,第5級
合而為一,第5級
同心協力,第5級
名列前茅,第5級
名副其實,第5級
名正言順,第5級
吞吞吐吐,第5級
吹毛求疵,第5級
吹灰之力,第5級
咄咄逼人,第5級
和藹可親,第5級
和顏悅色,第5級
咬牙切齒,第5級
咬緊牙關,第5級
哄堂大笑,第5級
哭哭啼啼,第5級
哭笑不得,第5級
哺乳動物,第5級
啞口無言,第5級
啼笑皆非,第5級
喃喃自語,第5級
善解人意,第5級
喋喋不休,第5級
喜出望外,第5級
喜怒哀樂,第5級
喜氣洋洋,第5級
嗤之以鼻,第5級
嘆為觀止,第5級
嘖嘖稱奇,第5級
嘻嘻哈哈,第5級
嚎啕大哭,第5級
四分五裂,第5級
四面八方,第5級
因人而異,第5級
土生土長,第5級
在所難免,第5級
坐立不安,第5級
坐立難安,第5級
垂頭喪氣,第5級
埋頭苦幹,第5級
執行不力,第5級
堂而皇之,第5級
堆積如山,第5級
士氣大振,第5級
壽終正寢,第5級
多愁善感,第5級
多才多藝,第5級
多采多姿,第5級
夜深人靜,第5級
夢寐以求,第5級
大功告成,第5級
大可不必,第5級
大吃一驚,第5級
大同小異,第5級
大名鼎鼎,第5級
大大小小,第5級
大失所望,第5級
大庭廣眾,第5級
大惑不解,第5級
大排長龍,第5級
大搖大擺,第5級
大相逕庭,第5級
大興土木,第5級
大街小巷,第5級
大錯特錯,第5級
大驚失色,第5級
大驚小怪,第5級
天南地北,第5級
天壤之別,第5級
天方夜譚,第5級
天旋地轉,第5級
天昏地暗,第5級
天涯海角,第5級
天災人禍,第5級
天經地義,第5級
天翻地覆,第5級
天衣無縫,第5級
天馬行空,第5級
奄奄一息,第5級
奮不顧身,第5級
好逸惡勞,第5級
如出一轍,第5級
如影隨形,第5級
如數家珍,第5級
如日中天,第5級
如法炮製,第5級
如火如荼,第5級
如釋重負,第5級
如願以償,第5級
始作俑者,第5級
始料未及,第5級
始終如一,第5級
威風凜凜,第5級
嫉惡如仇,第5級
字裡行間,第5級
孜孜不倦,第5級
守口如瓶,第5級
安居樂業,第5級
安然無恙,第5級
安身立命,第5級
家喻戶曉,第5級
家家戶戶,第5級
家徒四壁,第5級
家破人亡,第5級
容光煥發,第5級
密不可分,第5級
密密麻麻,第5級
富麗堂皇,第5級
察言觀色,第5級
寥寥無幾,第5級
實事求是,第5級
對症下藥,第5級
小心翼翼,第5級
小題大作,第5級
少之又少,第5級
居高臨下,第5級
屢見不鮮,第5級
層出不窮,第5級
山珍海味,第5級
岌岌可危,第5級
嶄露頭角,第5級
川流不息,第5級
左右為難,第5級
左思右想,第5級
左鄰右舍,第5級
平心靜氣,第5級
平易近人,第5級
平淡無奇,第5級
幸災樂禍,第5級
廢寢忘食,第5級
引人入勝,第5級
引人注目,第5級
引以為傲,第5級
張牙舞爪,第5級
形形色色,第5級
形影不離,第5級
彬彬有禮,第5級
待人接物,第5級
徒勞無功,第5級
得不償失,第5級
得心應手,第5級
得意忘形,第5級
得意洋洋,第5級
從天而降,第5級
從容不迫,第5級
從頭到尾,第5級
微不足道,第5級
微乎其微,第5級
徹頭徹尾,第5級
心不在焉,第5級
心力交瘁,第5級
心平氣和,第5級
心悅誠服,第5級
心曠神怡,第5級
心滿意足,第5級
心灰意冷,第5級
心煩意亂,第5級
心甘情願,第5級
心知肚明,第5級
心神不寧,第5級
心血來潮,第5級
心路歷程,第5級
心驚肉跳,第5級
忍氣吞聲,第5級
忍無可忍,第5級
忐忑不安,第5級
志同道合,第5級
忘恩負義,第5級
忠心耿耿,第5級
念念不忘,第5級
忿忿不平,第5級
急轉直下,第5級
怨天尤人,第5級
恍然大悟,第5級
