name,level,pattern
因為……所以……,第2*級,因為|所以
雖然……但是……,第2級,雖然|但是
如果……就……,第2級,如果|就
不但……而且……,第3級,不但|而且
一邊……一邊……,第2*級,一邊
越……越……,第2*級,越
把字句,第3*級,把
被字句,第2級,被
除了……以外……,第3*級,除了|以外
根據,第4*級,根據
透過,第5級,透過
以及,第5級,以及
由於,第4*級,由於
因此,第4*級,因此
即使……也……,第4*級,即使|也
不管……都……,第3*級,不管|都
一百一（十）,第1*級,一百一（十）
一百零八,第1*級,一百零八
三十九,第1*級,三十九
二,第1*級,二
254 三點二五四,第3*級,254 三點二五四
A 不如B,第4級,A 不如B
A 像,第4級,A 像
V,第4級,V
V 光,第4級,V 光
…… 以內／,第4級,…… 以內／
……而已,第4級,……而已
一V 起,第4級,一V 起
一下…… 一,第4級,一下…… 一
不,第4級,不
不到,第4級,不到
不是,第4級,不是
不論／無論,第4級,不論／無論
像…… 什麼,第4級,像…… 什麼
再加上,第4級,再加上
卻,第4級,卻
另外,第4級,另外
只是,第4級,只是
哪裡……,第4級,哪裡……
多Vs 啊,第4級,多Vs 啊
害,第4級,害
對……來說,第4級,對……來說
差,第4級,差
怎麼（一）,第4級,怎麼（一）
所以啦,第4級,所以啦
把,第4級,把
把……V 作,第4級,把……V 作
拿,第4級,拿
拿……來說,第4級,拿……來說
按照,第4級,按照
既,第4級,既
早就……了,第4級,早就……了
是,第4級,是
照（著）,第4級,照（著）
看樣子,第4級,看樣子
看／要看／,第4級,看／要看／
給,第4級,給
經過,第4級,經過
被,第4級,被
被……V 作,第4級,被……V 作
說,第4級,說
說到／談到,第4級,說到／談到
誰知道,第4級,誰知道
賓+受（N）,第4級,賓+受（N）
趁（著）,第4級,趁（著）
跟,第4級,跟
跟／和……,第4級,跟／和……
通過,第4級,通過
量詞重疊,第4級,量詞重疊
除了……之,第4級,除了……之
離,第4級,離
（要）不然,第4級,（要）不然
